,text,gov
0,The balance included in-kind donations prepared in accordance with B4SI guidelines.,0
1,"Internal controls and risk management The Board, through the Audit Committee, is responsible for ensuring that suitable internal control systems to prevent and detect fraud and error are designed and implemented by the third-party service providers to the Company and is also responsible for reviewing the effectiveness of such controls.",1
2,This analysis does not take into account the energy mix related to the electricity consumption of the TTV portfolio issuers.,0
3,"Change in Chief Financial Officer and plc Board Chair positions Clare Bousfield stepped down from the Board with effect from 1 October 2021 and transitioned into the role of Managing Director of our Retail & Savings business, for which Clare continued to receive salary and benefits reflective of her new role.",0
4,Consideration and prioritisation of climate risk is also built into the decision-making and governance processes and is a requirement of key strategic Board risk assessment papers.,1
5,We are working with a broad range of clients and expect to see growth in our Derivatives division as we continue to evolve the nature of solutions we offer in both the institutional and wholesale space.,0
6,Training The training delivered is designed to ensure that employees can adapt to their roles and develop their skills.,0
7,"In our business segment of Fund Investment Services, our aim is to achieve sustainable growth in managed and advised assets.",0
8,"The fees for the non-executive Directors are determined within the limits (not to exceed £300,000 per annum) set out in the Company’s Articles of Association, or any greater sum that may be determined by special resolution of the Company.",0
9,"For the individual risk measure, we use an adjusted ß (beta) of 0.6.",0
10,"Over the year, we accelerated efficiency measures to achieve the full amount of our € 150 million gross cost savings objective ahead of schedule.",0
11,It should be noted that the Supervisory Board does not include any member representing employees and/or employee shareholders and that the Company is not bound by any obligation to make such an appointment (under the provisions of Article L.226-5-1 of the French Commercial Code).,1
12,"Colleague welfare, as well as customer focus, has been at the centre of everything we have tried to do during the COVID-19 pandemic, particularly as work patterns flexed and changed.",0
13,They are also responsible for safeguarding the assets of the Company and hence for taking reasonable steps for the prevention and detection of fraud and other irregularities.,1
14,"On 30 April 2021, the Company announced its intention to implement a “zero discount” policy to seek to manage the discount or premium to net asset value and gave instructions to Winterflood to implement the policy on the Board’s behalf.",0
15,The Board The UK Corporate Governance Code recommends that the Board should include a balance of executive and non-executive Directors (and in particular independent non-executive Directors) such that no individual or small group of individuals can dominate the Board’s decision making.,1
16,All employees have periodic individual evaluation interviews.,0
17,"These included the “In conversation with” series in which the Chief Executive and other key members of senior management presented items such as the half year results, strategy and sustainability.",1
18,"They also have the responsibility for disclosing, as applicable, matters related to going concern.",0
19,"We do not take a linear approach to decarbonisation because this can create unintended consequences: such as incentivising divestment to pass the problem onto someone else, and missing out on transition related opportunities.",0
20,A highly-diversified London and Euronext-listed closedend fund investing in private equity limited partnerships.,0
21,"One year ago, around 20 percent the portfolio value was still attributable to investments that had been in the portfolio for more than five years.",0
22,See “Section 6.1.3.4 – Catastrophe (Cat) risk and exposure controls” for further information on risk mitigation actions.,0
23,"In accordance with our fundamental diversity concept, we also take into account the knowledge and skills required for the proper performance of tasks and the necessary experience of the employees in the composition of the two levels below management.",0
24,These funds are also available for investments.,0
